message,priority
"Heart attack victim, no pulse",critical
Medical supplies running low,urgent
Is the relief camp still active?,low
any news on power restoration?,low
is the flood receding?,low
"shelter damaged, rain entering",urgent
i am trapped under rubble,critical
diabetic patient needs sugar,urgent
injured and bleeding severely,critical
person with broken limb in pain,urgent
lost contact with relatives,medium
"Asthma attack, need inhaler",urgent
Can someone confirm if school reopens?,low
Need transport to evacuation center,medium
Pregnant woman needs checkup,medium
looking for missing family member,medium
medical supplies running low,urgent
any updates on relief operations?,low
Pregnant woman needs checkup,medium
can someone confirm if school reopens?,low
"Massive flood, children stranded on roof",critical
"Massive flood, children stranded on roof",critical
Drowning person spotted in the river,critical
baby without food for 12 hours,urgent
please share update on flood situation,low
any updates on relief operations?,low
need medical attention soon,urgent
generator needed for the shelter,medium
diabetic patient needs sugar,urgent
drowning person spotted in the river,critical
What is the weather forecast?,low
"Fire spreading, people inside",critical
"massive flood, children stranded on roof",critical
Any news on power restoration?,low
Need medical attention soon,urgent
General inquiry about aid availability,low
any updates on relief operations?,low
"shelter damaged, rain entering",urgent
can volunteers come to our area,medium
elderly person needs insulin now,urgent
pregnant woman needs checkup,medium
can volunteers come to our area,medium
what is the weather forecast?,low
"Bridge collapsed, cars in water",critical
"shelter damaged, rain entering",urgent
requesting clean water,medium
Any news on power restoration?,low
Need food supplies for our group,medium
what is the weather forecast?,low
need transport to evacuation center,medium
injured and bleeding severely,critical
"Fire spreading, people inside",critical
"road blocked, ambulance can't pass",urgent
What is the weather forecast?,low
looking for missing family member,medium
Small fire contained but spreading,urgent
"Injured leg, unable to walk",urgent
please share update on flood situation,low
General inquiry about aid availability,low
baby without food for 12 hours,urgent
Looking for information about donations,low
what is the weather forecast?,low
general inquiry about aid availability,low
any volunteers needed?,low
person fell from 3rd floor unresponsive,critical
diabetic patient needs sugar,urgent
Pregnant woman needs checkup,medium
Diabetic patient needs sugar,urgent
"heart attack victim, no pulse",critical
any updates on relief operations?,low
"Chemical spill, people exposed",critical
"Multiple casualties, need ambulance immediately",critical
No electricity for 2 days,medium
"Injured leg, unable to walk",urgent
requesting clean water,medium
Any volunteers needed?,low
children need vaccines,medium
general inquiry about aid availability,low
when will roads reopen?,low
We are trapped in the elevator,critical
someone is unconscious and not breathing,critical
Requesting clean water,medium
Medical supplies running low,urgent
general inquiry about aid availability,low
"Shooting reported, people injured",critical
"chemical spill, people exposed",critical
